                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2697,                 1.3058,                 1.7664,                0.85268,                0.61998,                0.71328,                0.51154,                 1.1863,                 1.2252,                 1.6889,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2416,                 1.2807,                 1.7375,                0.83812,                 0.6161,                 0.7302,                 0.5246,                 1.1857,                 1.1785,                 1.6975,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2395,                 1.2589,                 1.7403,                0.79288,                0.63674,                0.71004,                0.49731,                 1.1763,                 1.2075,                 1.7106,               0.000614,               0.000614,               0.000614
                     37,                 1.2269,                 1.2627,                 1.7241,                0.80408,                0.60479,                0.70459,                0.50382,                 1.1556,                 1.2366,                 1.6631,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.228,                 1.2387,                 1.7143,                0.87779,                0.60146,                0.73215,                0.53546,                 1.1418,                 1.1252,                 1.6427,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1893,                 1.2068,                 1.6806,                 0.8317,                0.64604,                0.73829,                0.52463,                 1.1881,                 1.1253,                 1.6923,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2209,                 1.2121,                 1.7231,                0.84484,                0.65203,                 0.7542,                0.55479,                 1.0902,                 1.0865,                 1.6071,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1425,                 1.2853,                 1.6781,                0.84573,                0.63828,                0.73556,                 0.5501,                  1.113,                 1.1339,                 1.6108,               0.000416,               0.000416,               0.000416
                     42,                 1.1122,                 1.1751,                 1.6359,                0.86897,                 0.6314,                0.74825,                0.56126,                 1.0828,                 1.0723,                 1.5783,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0894,                 1.1155,                 1.6162,                0.85993,                0.66667,                0.76561,                 0.5781,                 1.0419,                 1.0253,                 1.5486,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0616,                 1.1085,                 1.5929,                0.85566,                  0.666,                 0.7613,                0.57241,                 1.0329,                  1.026,                 1.5358,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0409,                 1.0759,                 1.5734,                0.88563,                0.65946,                 0.7731,                0.58884,                 1.0271,                 1.0135,                 1.5241,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.032,                 1.0631,                 1.5701,                0.88305,                0.64306,                0.76556,                0.58729,                  1.015,                 1.0085,                 1.5106,               0.000218,               0.000218,               0.000218
                     47,                  1.022,                  1.046,                 1.5513,                0.85804,                 0.6853,                0.77568,                0.59361,                0.99458,                0.98451,                 1.4946,              0.0001784,              0.0001784,              0.0001784
                     48,                0.99233,                 1.0432,                 1.5228,                 0.8801,                0.67332,                0.78273,                0.59707,                0.99545,                0.97691,                 1.4975,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0053,                 1.0358,                 1.5282,                0.89443,                  0.668,                0.78366,                0.60289,                0.97778,                0.96259,                   1.47,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.9883,                 1.0168,                 1.5301,                0.87782,                0.67876,                0.78577,                0.60708,                 0.9653,                0.95005,                 1.4655,               5.96e-05,               5.96e-05,               5.96e-05
